Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,C1,C_1206_3216Metric,1,1uF 100V,
2,"C2, C3",C_1812_4532Metric,2,450V 4.7nF,
3,"C4, C5, C6, C7",C_Disc_D7.5mm_W5.0mm_P7.50mm,4,6kV 33pF,
4,J1,CONN-TH_P10.16_KF135T-10.16-2P,1,ICP Primary,
5,J2,CONN-TH_P10.16_KF135T-10.16-2P,1,Plasma Flame,
6,J4,CONN-TH_P10.16_KF135T-10.16-2P,1,VIN,
7,J5,CONN-TH_P10.16_KF135T-10.16-2P,1,SIG,
8,L1,CONN-TH_P10.16_KF135T-10.16-2P,1,10uH,
9,Q1,TO-247-3_Vertical,1,FDA18N50,
10,"R1, R2",R_2512_6332Metric,2,1K 0.5W,
11,"R3, R4",R_0603_1608Metric,2,10K,
12,RV1,RES-ADJ-TH_RK1631110U1Q,1,10K,
13,"U1, U2",HSOF-8_IPT007N06N,2,IPT007N06N,
