Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF 100V,C_1206_3216Metric,78.44,-87.87,-90,top
C2,450V 4.7nF,C_1812_4532Metric,45.84,-87.59,-90,top
C3,450V 4.7nF,C_1812_4532Metric,40.52,-87.6,-90,top
C4,6kV 33pF,C_Disc_D7.5mm_W5.0mm_P7.50mm,52.62,-83.85,90,top
C5,6kV 33pF,C_Disc_D7.5mm_W5.0mm_P7.50mm,58.99,-88.75,90,top
C6,6kV 33pF,C_Disc_D7.5mm_W5.0mm_P7.50mm,52.56,-94.75,90,top
C7,6kV 33pF,C_Disc_D7.5mm_W5.0mm_P7.50mm,58.93,-99.47,90,top
H1,Hole,MountingHole_3.2mm_M3_Pad,41.19,-78.83,0,top
H2,Hole,MountingHole_3.2mm_M3_Pad,44.53,-96.7,0,top
J1,ICP Primary,CONN-TH_P10.16_KF135T-10.16-2P,39.86,-66.82,180,top
J2,Plasma Flame,CONN-TH_P10.16_KF135T-10.16-2P,81.61,-66.98,180,top
J4,VIN,CONN-TH_P10.16_KF135T-10.16-2P,60.86,-111.11,0,top
J5,SIG,CONN-TH_P10.16_KF135T-10.16-2P,81.71,-111.06,0,top
L1,10uH,CONN-TH_P10.16_KF135T-10.16-2P,39.855,-111.105,0,top
Q1,FDA18N50,TO-247-3_Vertical,32.28,-93.63,90,top
R1,1K 0.5W,R_2512_6332Metric,66.58,-73.63,90,top
R2,1K 0.5W,R_2512_6332Metric,60.46,-73.79,-90,top
R3,10K,R_0603_1608Metric,82.1175,-96.247499,180,top
R4,10K,R_0603_1608Metric,67.3975,-96.227499,180,top
RV1,10K,RES-ADJ-TH_RK1631110U1Q,60.34,-60.42,90,top
U1,IPT007N06N,HSOF-8_IPT007N06N,84,-89.9,0,top
U2,IPT007N06N,HSOF-8_IPT007N06N,69.28,-89.93,0,top
