Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,10uF,C_0603_1608Metric,128.09,-144.91,180,top
C11,1uF,C_0603_1608Metric,128.065,-143.29,180,top
C12,2.2uF,C_0603_1608Metric,129.87,-113.88,135,top
C13,2.2uF,C_0603_1608Metric,122.67,-130.22,-45,top
C14,1uF,C_0603_1608Metric,133.215,-152.29,180,top
C15,1uF,C_0603_1608Metric,154.39,-142.79,-90,top
C16,100nF,C_0402_1005Metric,134.03,-137.36,-45,top
C17,10uF,C_0603_1608Metric,148.82,-147.53,0,top
C18,100nF,C_0402_1005Metric,128.21,-152.67,0,top
C19,100nF,C_0402_1005Metric,150.65,-152.32,90,top
C20,10pF,C_0402_1005Metric,122.770913,-110.459087,-45,top
C21,10pF,C_0402_1005Metric,120.991502,-112.289676,-45,top
C22,30pF,C_0402_1005Metric,117.791502,-112.399676,-45,top
C23,30pF,C_0402_1005Metric,114.890913,-115.269087,-45,top
C24,100nF,C_0402_1005Metric,118.619411,-125.119411,135,top
C25,100nF,C_0402_1005Metric,125.45,-130.59,-135,top
C26,100nF,C_0402_1005Metric,134.410589,-125.159411,-135,top
C27,100nF,C_0402_1005Metric,127.6,-114.27,45,top
C28,100nF,C_0402_1005Metric,125.909411,-114.170589,45,top
C29,100nF,C_0402_1005Metric,119.79,-118.61,45,top
C30,1uF,C_0603_1608Metric,127.47,-110.81,0,top
C31,1uF,C_0603_1608Metric,117.87,-121.76,-90,top
C33,10uF,C_0603_1608Metric,118.91,-134.7,135,top
C36,10uF,C_0603_1608Metric,137.44,-113.76,-90,top
C37,10uF,C_0603_1608Metric,149.04,-110.22,-90,top
C38,100nF,C_0402_1005Metric,139.27,-123.98,-90,top
C39,1uF,C_0603_1608Metric,159.24,-112.515,90,top
C43,100nF,C_0402_1005Metric,149.75,-124.09,-90,top
C44,10uF,C_0603_1608Metric,149.06,-113.84,-90,top
C45,10uF,C_0603_1608Metric,137.43,-110.15,-90,top
D1,1N5819WS,D_SOD-323,133.55,-148.61,-90,top
D3,1N5819WS,D_SOD-323,127.68,-138.0425,-90,top
D5,LED,LED_0805_2012Metric,119.6875,-150.76,0,top
D6,LED,LED_0805_2012Metric,147.86,-137.54,0,top
D7,LED,LED_0805_2012Metric,144.26,-148.06,135,top
D8,LED,LED_0805_2012Metric,122.830001,-133.08,180,top
H2,Hole,MountingHole_3.2mm_M3_Pad,136.47,-89.31,0,top
H3,Hole,MountingHole_3.2mm_M3_Pad,156.43,-156.13,0,top
H4,Hole,MountingHole_3.2mm_M3_Pad,116.43,-156.13,0,top
J1,12VDC,CONN-TH_P10.16_KF135T-10.16-2P,121.9,-96.455001,180,top
J3,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,137.08,-158.39,0,top
J4,Conn_01x12,PinHeader_1x12_P2.54mm_Vertical,159.2,-117.39,0,top
J9,Driver Signals,CONN-TH_P10.16_KF135T-10.16-2P,151.05,-96.46,180,top
R3,10K,R_0603_1608Metric,148.48,-152.59,90,top
R4,5.1K,R_0603_1608Metric,135.52,-151.545,90,top
R5,5.1K,R_0603_1608Metric,140.355,-152.17,0,top
R6,10K,R_0603_1608Metric,128.18,-151.03,0,top
R7,10K,R_0603_1608Metric,156.49,-117.2,-90,top
R9,10K,R_0603_1608Metric,123.79,-150.73,0,top
R10,10K,R_0603_1608Metric,151.78,-137.56,0,top
R11,10K,R_0603_1608Metric,143.69,-144.21,90,top
R12,10K,R_0603_1608Metric,120.45,-131.36,-135,top
R13,4.7K,R_0603_1608Metric,133.95,-115.35,-135,top
R14,4.7K,R_0603_1608Metric,132.87,-114.19,-135,top
R15,4.7K,R_0603_1608Metric,141.81,-121.21,0,top
R17,330,R_0603_1608Metric,140.35,-131.55,180,top
R18,10K,R_0603_1608Metric,115.816637,-124.183363,45,top
R19,330,R_0603_1608Metric,150.32,-131.82,180,top
R20,4.7K,R_0603_1608Metric,152.005,-121.37,0,top
R22,10K,R_0603_1608Metric,115.463363,-126.976637,45,top
R23,10K,R_0603_1608Metric,116.71,-128.14,45,top
R24,10K,R_0603_1608Metric,118.64,-128.58,45,top
R25,10K,R_0603_1608Metric,119.89,-129.606637,45,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,125.65,-156.12,0,top
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,147.81,-156.16,0,top
U1,STM32H573RIT6,LQFP-64_10x10mm_P0.5mm,126.525394,-122.250268,-45,top
U3,L7805ABD2T-TR,TO-263-2_L10.0-W9.2-P5.08-LS15.3-TL-CW,122.700001,-144.08,180,top
U4,USBLC6-2SC6,SOT-23-6,135.412583,-135.356085,135,top
U5,LD1117S33TR_SOT223,SOT-223-3_TabPin2,149.02,-142.86,180,top
U6,TC4420EOA713,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,141.23,-111.91,0,top
U8,TLP2362,OPTO-SMD-5_L3.7-W4.6-P1.27-LS7.0-BR,142.47,-126.45,-90,top
U10,TLP2362,OPTO-SMD-5_L3.7-W4.6-P1.27-LS7.0-BR,152.67,-126.51,-90,top
U11,TC4420EOA713,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,152.79,-111.97,0,top
X1,FC-135 32.7680KA-AG3,CRYSTAL-SMD_L3.2-W1.5-1,123.407055,-113.022524,45,top
X2,ABM3-8.000MHZ-D2Y-T,OSC-SMD_L5.0-W3.2,118.492661,-116.112581,45,top
