Item,Price,Link
Control PCB,$10,JLCPCB
Header Pins,$3,https://www.aliexpress.us/item/3256801327743339.html
OLED Screen,$4,https://www.aliexpress.us/item/3256805954920554.html?
10K Potentiometers,$4,https://www.aliexpress.us/item/3256809938132755.html
Push Button,$4,https://www.aliexpress.us/item/3256808590713102.html?
3mm Flat Top LEDs,$2,https://www.aliexpress.us/item/2251801539552759.html?
F-F Jumpers,$2,https://www.aliexpress.us/item/2255800018543465.html
,,
ICP Driver PCB + Assembly,$55,JLCPCB
FQA18N50 MOSFETs,$10,https://www.aliexpress.us/item/3256811881586105.html
6kV 33pF Capacitors,$2,https://www.aliexpress.us/item/2251832494176278.html
12AWG Solid Core,$4,https://www.aliexpress.us/item/3256808900976117.html
Massive Heatsink,$10,https://www.aliexpress.us/item/3256809168389115.html
HFSSTC Module,$24,https://www.aliexpress.us/item/3256810369157220.html?
24AWG Solid Core (Inductor Wire),$7,https://www.amazon.com/0-2mm%C2%B2-Electrical-Colors-Tinned-breadboard/dp/B09WMQZYXV/
6AWG Primary Copper,$24,https://www.amazon.com/99-9-Copper-Diameter-Jewelry-Making/dp/B0CNRT19WB/
,,
Purge Motherboard PCB + Assembly,$80,JLCPCB
24V -> 12V Isolation SMPS ,$6,https://www.aliexpress.us/item/3256807230654430.html
24V 10A Power Supply,$30,https://www.amazon.com/Power-Supply-Adapter-Transformers-Universal/dp/B0D5B33JCH
,,
JLCPCB Customs & Shipping,$91,:( JLCPCB
,,
"4""x7"" Glass Dome",$30,https://www.amazon.com/Plymor-Brand-Glass-Display-Cloche/dp/B006XIQGX8/ref=ast_sto_dp_puis?th=1
4.5CFM Vacuum Pump,$60,https://www.amazon.com/VECOTOOLS-Foldable-Automotive-Household-Maintenance/dp/B0GZVLP3PL/
Hosing & Gauge,$28,https://www.amazon.com/R410A-Recharge-Manifold-Gauge-Set/dp/B0DZ6G6ZBT/
SAE to NPT Adapter,$9,https://www.amazon.com/uxcell-Fitting-Connector-Conditioner-Refrigeration/dp/B08MZ4TPMZ/
NPT Tap,$7,https://www.amazon.com/Drill-America-DWTPT1-Qualtech-Carbon/dp/B01DZD1SSQ/
M5 x 100mm Threaded Rods,$10,https://www.amazon.com/LWCUSNJ-Threaded-M5-0-8mm-Stainless-Threads/dp/B0FHB8P689/
Silicone Caulk,$3,https://www.amazon.com/White-Acrylic-Latex-Caulk-Silicone/dp/B00GVLHBDG/
Custom Aluminum Base Plate,$50,JLC CNC
Silicone Isolation Feet,$20,https://www.amazon.com/Isolation-Feet-8Pack-Turntable-Subwoofer-Resonance/dp/B0FX8S3D77
,,
Total:,$589,
